rank,model,family,params,f1m,pr_auc,bin_f1,acc,roc_auc,train_time_s,best_epoch,best_threshold
1,TCN+SE 19-dim (champion),TCN,72921,0.8443832978715788,0.8891750089226933,0.8346799254195152,0.844988344988345,0.8679923452405478,59.2,35,0.3899999999999999
2,LightGBM,Tree,N/A,0.8340846320041941,0.8242546104127786,0.7289357260028831,0.900722777504688,0.9124790715412111,,N/A,0.6799999999999997
3,CNN-LSTM,Hybrid,51713,0.8328806569025915,0.8997424929465698,0.8217296284733063,0.8336247086247086,0.8556839483303738,23.4,23,0.3599999999999999
4,CNN 1D,Lightweight,30913,0.8280274513052255,0.9030921107297297,0.8175046554934823,0.8286713286713286,0.8665885754077233,13.3,20,0.5199999999999998
5,Random Forest,Tree,N/A,0.8272624258617443,0.8261796148300742,0.7253596164091636,0.8873777923425638,0.9101479962072809,,N/A,0.5299999999999998
6,MobileNetV2,Mobile,256129,0.8225954249346062,0.8963799172252316,0.8084836973725863,0.8237179487179487,0.8561131664927206,170.0,22,0.22999999999999995
7,ShuffleNet 1D,Mobile,5905,0.8188601482657016,0.8873125922441418,0.806984720922981,0.8196386946386947,0.8475334001876232,22.8,21,0.4999999999999998
8,MobileNet V1,Mobile,30401,0.816657091742114,0.9057785443394293,0.8035153797865662,0.8175990675990676,0.862809548699491,21.4,13,0.5699999999999997
9,BiLSTM,Recurrent,147009,0.8052752334085546,0.8947618797352757,0.7916013788780947,0.8062354312354313,0.836707091378691,42.2,19,0.4299999999999998
10,SqueezeNet 1D,Mobile,61873,0.8028206536981342,0.8959369890823143,0.7928812519177661,0.8033216783216783,0.8555159045674874,25.3,8,0.5699999999999997
11,LSTM,Recurrent,57153,0.8002775269926075,0.892242282404149,0.778105539167486,0.8027389277389277,0.8352551387850793,21.9,24,0.4099999999999998
12,MobileNetV3-Small,Mobile,277835,0.7984471349845328,0.8875772494042211,0.7836477987421384,0.7995337995337995,0.8523285213000151,59.8,4,0.6399999999999997
13,GhostNet 1D,Mobile,48225,0.7903844041609359,0.8807586050802664,0.7953316253914033,0.7905011655011654,0.8537130520799459,40.6,11,0.4199999999999998
14,Vanilla RNN,Recurrent,15873,0.7895090033143131,0.8879324446495049,0.7730720606826802,0.7907925407925408,0.8267790590570822,14.2,28,0.3999999999999998
15,MobileViT 1D,Hybrid,75617,0.7875367437413037,0.8991657949200658,0.7908177905308464,0.7875874125874126,0.8625654000105559,49.0,15,0.48999999999999977
16,LinearSVM,Classical,N/A,0.6535896182597677,0.5365973274782817,0.44308320571720267,0.7815100041873759,0.7466179019214316,,N/A,0.30999999999999994
17,OCC-eSNN,SNN,N/A,0.5817193382724717,0.6874009853720802,0.5159059474412172,0.5920745920745921,0.6105021392805275,,N/A,0.14734471699505142
