name,n_features,n_params,best_epoch,test_macro_f1,test_binary_f1,test_accuracy,test_roc_auc,test_pr_auc,train_time_s
01_baseline_27dim,27,71681,6,0.7633539275308481,0.728946471189908,0.7683566433566433,0.8384815109296548,0.8919062557800688,20.4
02_minus_3_row_scada,24,70913,11,0.7739480913823019,0.7396978021978022,0.7791375291375291,0.8544948727072752,0.9026756042137523,30.4
03_minus_8_window_scada,19,69633,20,0.7579224937403106,0.7169414240617328,0.7648601398601399,0.8490718433907043,0.8985460792873288,37.8
04_minus_cmd_resp_5,22,70401,19,0.8157839252795553,0.7960848287112561,0.8178904428904429,0.8603190277638262,0.9099381898263125,38.8
05_minus_process_3,24,70913,15,0.7828699753971999,0.751869476546567,0.7872960372960373,0.8541655954657128,0.9039612261966377,38.7
06_minus_unusual_fc_2,25,71169,17,0.8037256544149084,0.7802779616148247,0.8065268065268065,0.860787575317487,0.905646227827098,39.3
07_minus_length_nunique,26,71425,8,0.780116950963365,0.7494922139471902,0.7843822843822844,0.8497930524885629,0.899755277422247,25.9
08_minus_is_response,26,71425,14,0.8155290309389882,0.7974151857835218,0.8173076923076923,0.8585628257231246,0.9064363799056301,37.4
09_only_v1_17dim,17,69121,2,0.7448310298785544,0.6970240229472929,0.7537878787878788,0.8060127999291732,0.8663999518009454,13.6
10_only_v1_16dim,16,68865,20,0.7961527238445826,0.7698996655518394,0.7995337995337995,0.856309983706395,0.9063202635997563,38.4
