name,n_features,n_params,best_epoch,test_macro_f1,test_binary_f1,test_accuracy,test_roc_auc,test_pr_auc,train_time_s
01_baseline_27dim,27,74969,17,0.8267954843613463,0.8136234626300851,0.8277972027972028,0.8609331451424798,0.8988577654015886,33.9
02_minus_3_row_scada,24,74201,20,0.8244944127247085,0.8079768414281119,0.826048951048951,0.8675544439658328,0.9062149281893389,36.1
03_minus_8_window_scada,19,72921,20,0.8269590151536098,0.8112784363985902,0.8283799533799534,0.8640956708725847,0.9035329726367493,36.8
04_minus_cmd_resp_5,22,73689,18,0.8168473616158007,0.8030255278915852,0.8178904428904429,0.8596505983685965,0.9070720338840699,37.8
05_minus_process_3,24,74201,12,0.8167479806492006,0.7989674088415618,0.8184731934731935,0.8567494172950573,0.891372262017616,34.6
06_minus_unusual_fc_2,25,74457,19,0.815001086638454,0.7987220447284346,0.8164335664335665,0.8606859318256499,0.9042343581684509,41.8
07_minus_length_nunique,26,74713,18,0.8126186872866188,0.799624295554164,0.8135198135198135,0.8532332675573384,0.8930192294116539,42.1
08_minus_is_response,26,74713,11,0.8095744345636458,0.79204107830552,0.8111888111888111,0.8506395708158891,0.8998878678889988,33.7
09_only_v1_17dim,17,72409,19,0.8114683883726479,0.7918022121014964,0.8135198135198135,0.8593771654575575,0.8905479226836822,42.0
10_only_v1_16dim,16,72153,19,0.8104785023276067,0.7902120717781403,0.8126456876456877,0.8550439518717214,0.8975829921301322,41.5
