name,drop_idx,drop_feature,group,n_features,n_params,best_epoch,test_macro_f1,test_binary_f1,test_accuracy,test_roc_auc,test_pr_auc,train_time_s
baseline_27dim,,,,27,74969,17,0.8267954843613463,0.8136234626300851,0.8277972027972028,0.8609331451424798,0.8988577654015886,34.4
loo_00_drop_address,0.0,address,v1_raw,26,74713,18,0.8222856251253817,0.8047834518422754,0.824009324009324,0.8638756986925957,0.9026518165472268,36.7
loo_01_drop_function,1.0,function,v1_raw,26,74713,17,0.8166417473667511,0.7983166073162836,0.8184731934731935,0.8630785549257934,0.9028398404177679,36.9
loo_02_drop_length,2.0,length,v1_raw,26,74713,14,0.8264623538129587,0.811242414564037,0.8277972027972028,0.8674248783087342,0.9053044657957127,36.5
loo_03_drop_setpoint,3.0,setpoint,v1_raw,26,74713,19,0.8341808233544494,0.8201209805794333,0.8353729603729604,0.8662180959466892,0.898207836870532,38.2
loo_04_drop_gain,4.0,gain,v1_raw,26,74713,18,0.8189694817159668,0.8057825267127593,0.8199300699300699,0.8537808144078373,0.8878820279426876,38.3
loo_05_drop_reset_rate,5.0,reset rate,v1_raw,26,74713,18,0.8225990475985084,0.8067818298144593,0.824009324009324,0.861027637835896,0.8965322091673702,38.4
loo_06_drop_deadband,6.0,deadband,v1_raw,26,74713,19,0.8357552236284975,0.8244131455399061,0.8365384615384616,0.8649634713380676,0.8907025124974194,40.0
loo_07_drop_cycle_time,7.0,cycle time,v1_raw,26,74713,12,0.8120451047936166,0.7953964194373402,0.8135198135198135,0.8593453273788747,0.9008940249209267,33.8
loo_08_drop_rate,8.0,rate,v1_raw,26,74713,12,0.8017913772566249,0.7799607072691552,0.8041958041958042,0.8529523433336683,0.8994021977975636,33.9
loo_09_drop_system_mode,9.0,system mode,v1_raw,26,74713,20,0.8236000211086051,0.8054563169860345,0.8254662004662005,0.8522439035187037,0.9071521889098484,39.8
loo_10_drop_control_scheme,10.0,control scheme,v1_raw,26,74713,11,0.8174389117287169,0.800257317465423,0.8190559440559441,0.8615414737795545,0.9027931515389152,33.5
loo_11_drop_pump,11.0,pump,v1_raw,26,74713,17,0.8148299438560229,0.7934102141680396,0.8173076923076923,0.864802578373602,0.9128311831391518,40.4
loo_12_drop_solenoid,12.0,solenoid,v1_raw,26,74713,11,0.8115918185297666,0.7956715467854869,0.8129370629370629,0.8519505505263498,0.9018183327741367,32.0
loo_13_drop_pressure_measurement,13.0,pressure measurement,v1_raw,26,74713,12,0.71532646440899,0.6726088447034625,0.7217365967365967,0.7566911893650602,0.8213490488683532,35.4
loo_14_drop_crc_rate,14.0,crc rate,v1_raw,26,74713,11,0.8056442271993923,0.7887683471601787,0.8071095571095571,0.8499439002838185,0.8976252201918165,32.1
loo_15_drop_time_diff,15.0,time_diff,v1_raw,26,74713,20,0.8234730388345564,0.8113856740694401,0.8243006993006993,0.8628500698905417,0.8946979975111482,38.8
loo_16_drop_time_since_last_same_addr_func,16.0,time_since_last_same_addr_func,v2_row,26,74713,19,0.8271713467259392,0.812718600953895,0.8283799533799534,0.858212777114721,0.8970102322388712,38.1
loo_17_drop_is_unusual_fc,17.0,is_unusual_fc,v2_row,26,74713,20,0.8209499807156069,0.8074377560668138,0.821969696969697,0.8641300628078462,0.9044702561157207,40.7
loo_18_drop_is_response,18.0,is_response,v2_row,26,74713,11,0.8095744345636458,0.79204107830552,0.8111888111888111,0.8506395708158891,0.8998878678889988,34.2
loo_19_drop_press_mean_w,19.0,press_mean_w,v2_window,26,74713,19,0.8141537351452668,0.7949301267468313,0.8161421911421911,0.8562383054650828,0.8963761879024862,62.8
loo_20_drop_crc_mean_w,20.0,crc_mean_w,v2_window,26,74713,20,0.8308229328091736,0.8157389635316699,0.8321678321678322,0.8678576718702913,0.9099540470123073,62.6
loo_21_drop_crc_max_w,21.0,crc_max_w,v2_window,26,74713,19,0.8149886251244427,0.8003796267004113,0.8161421911421911,0.8692650171023262,0.9073812973027824,57.6
loo_22_drop_cmd_count_w,22.0,cmd_count_w,v2_window,26,74713,13,0.8177429605633948,0.8006430868167203,0.8193473193473193,0.862916470161591,0.9054520117313198,48.4
loo_23_drop_resp_count_w,23.0,resp_count_w,v2_window,26,74713,7,0.8031306089334718,0.7851186658114175,0.8047785547785548,0.8461357596105878,0.8973044511935891,32.9
loo_24_drop_cmd_resp_balance_w,24.0,cmd_resp_balance_w,v2_window,26,74713,20,0.8097704620960435,0.7902597402597402,0.8117715617715617,0.85592554316273,0.900524464400075,54.1
loo_25_drop_length_nunique_w,25.0,length_nunique_w,v2_window,26,74713,18,0.8126186872866188,0.799624295554164,0.8135198135198135,0.8532332675573384,0.8930192294116539,55.1
loo_26_drop_unusual_count_w,26.0,unusual_count_w,v2_window,26,74713,13,0.8085225819409706,0.7885491216655823,0.8106060606060606,0.8540532257762445,0.9005596833733903,48.3
