setting,seed,Accuracy,Precision,Recall,F1-Score
none,42,0.877913752913753,0.9553219448094612,0.8055401662049861,0.8740607153591824
none,123,0.8802447552447552,0.9573490813648294,0.8083102493074792,0.8765395013517573
none,456,0.8741258741258742,0.9386581469648563,0.8138504155124654,0.8718100890207715
none,789,0.8715034965034965,0.9540612516644474,0.7939058171745152,0.8666465074085273
none,1024,0.877039627039627,0.9510763209393346,0.8077562326869806,0.8735769922109047
noise,42,0.875,0.947334200260078,0.807202216066482,0.8716721507627879
noise,123,0.87004662004662,0.9619306594153637,0.7839335180055401,0.8638583638583639
noise,456,0.8435314685314685,0.9587554269175108,0.7340720221606648,0.8315029808597427
noise,789,0.8726689976689976,0.9590604026845637,0.7916897506925208,0.8673748103186646
noise,1024,0.8677156177156177,0.957345971563981,0.7833795013850415,0.8616697135892748
feat_mask,42,0.8723776223776224,0.9541528239202658,0.7955678670360111,0.8676737160120845
feat_mask,123,0.861013986013986,0.9529331514324693,0.7739612188365651,0.854173035768878
feat_mask,456,0.842948717948718,0.9445224719101124,0.7451523545706371,0.833075255497058
feat_mask,789,0.8685897435897436,0.9525401069518716,0.7894736842105263,0.8633747349288095
feat_mask,1024,0.8586829836829837,0.9489795918367347,0.7728531855955678,0.8519083969465648
time_mask,42,0.8691724941724942,0.9637482900136799,0.7806094182825485,0.8625650443832262
time_mask,123,0.8677156177156177,0.9464639788499669,0.7933518005540167,0.8631705846895721
time_mask,456,0.8385780885780886,0.9503239740820735,0.7313019390581718,0.8265497808390733
time_mask,789,0.8761655011655012,0.9545454545454546,0.8027700831024931,0.872103520914836
time_mask,1024,0.8717948717948718,0.9440468445022772,0.8038781163434903,0.8683423099940155
combined,42,0.8368298368298368,0.9621380846325167,0.718005540166205,0.8223350253807107
combined,123,0.8546037296037297,0.9534722222222223,0.7606648199445983,0.8462249614791988
combined,456,0.8487762237762237,0.9534555712270804,0.7490304709141274,0.8389699038163202
combined,789,0.8292540792540792,0.9484915378955114,0.7141274238227147,0.8147914032869785
combined,1024,0.8371212121212122,0.9580882352941177,0.7218836565096953,0.8233807266982622
