arch,display_name,seed,Accuracy,Precision,Recall,F1-Score
tcn_se,TCN+SE,42,0.8674242424242424,0.9423328964613368,0.7966759002770083,0.8634043830681477
tcn_se,TCN+SE,123,0.8738344988344988,0.9585561497326203,0.7944598337950138,0.8688276279915177
tcn_se,TCN+SE,456,0.8715034965034965,0.9411384217335058,0.8060941828254847,0.8683974932855865
tcn_se,TCN+SE,789,0.87004662004662,0.9398058252427185,0.804432132963989,0.8668656716417911
tcn_se,TCN+SE,1024,0.8505244755244755,0.9492350486787204,0.7562326869806094,0.8418131359851988
tcn,TCN (no SE),42,0.877913752913753,0.9553219448094612,0.8055401662049861,0.8740607153591824
tcn,TCN (no SE),123,0.8802447552447552,0.9573490813648294,0.8083102493074792,0.8765395013517574
tcn,TCN (no SE),456,0.8741258741258742,0.9386581469648563,0.8138504155124654,0.8718100890207715
tcn,TCN (no SE),789,0.8715034965034965,0.9540612516644474,0.7939058171745152,0.8666465074085274
tcn,TCN (no SE),1024,0.877039627039627,0.9510763209393346,0.8077562326869806,0.8735769922109047
lstm,BiLSTM,42,0.8464452214452215,0.9544807965860598,0.7434903047091412,0.8358766739333541
lstm,BiLSTM,123,0.833916083916084,0.9432878679109835,0.72797783933518,0.8217636022514072
lstm,BiLSTM,456,0.8388694638694638,0.956268221574344,0.7268698060941828,0.8259364180044068
lstm,BiLSTM,789,0.8516899766899767,0.9512534818941504,0.756786703601108,0.8429497068805925
lstm,BiLSTM,1024,0.7995337995337995,0.8849069607167471,0.7113573407202216,0.7886977886977886
gru,BiGRU,42,0.8511072261072261,0.9377537212449256,0.7678670360110803,0.8443496801705757
gru,BiGRU,123,0.8301282051282052,0.8972691807542262,0.7645429362880887,0.8256057433443015
gru,BiGRU,456,0.8266317016317016,0.8898195876288659,0.7650969529085873,0.8227584152517129
gru,BiGRU,789,0.8394522144522144,0.9644444444444444,0.7213296398891966,0.8253565768621236
gru,BiGRU,1024,0.8476107226107226,0.9533239038189534,0.746814404432133,0.8375271823547686
cnnlstm,CNN-LSTM,42,0.8356643356643356,0.9592894152479645,0.718005540166205,0.8212927756653993
cnnlstm,CNN-LSTM,123,0.8394522144522144,0.9596774193548387,0.725207756232687,0.8261281161249605
cnnlstm,CNN-LSTM,456,0.8493589743589743,0.9236842105263158,0.7778393351800554,0.8445112781954888
cnnlstm,CNN-LSTM,789,0.8578088578088578,0.94583615436696,0.7739612188365651,0.8513101767215112
cnnlstm,CNN-LSTM,1024,0.8175990675990676,0.9207708779443254,0.7146814404432132,0.8047411104179663
