rank_size,model,f1m,params,disk_kb,fp32_kb,int8_kb,hybrid_kb,runtime_c_kb,flash_fp32_kb,flash_int8_kb,ram_kb
1,ShuffleNet 1D,0.8189,5905.0,45.5,23.1,5.8,7.5,8,31.1,13.8,37.7
2,Vanilla RNN,0.7895,15873.0,66.9,62.0,15.5,20.2,12,74.0,27.5,13.9
3,MobileNet V1,0.8167,30401.0,137.6,118.8,29.7,38.6,8,126.8,37.7,49.7
4,CNN 1D,0.828,30913.0,130.7,120.8,30.2,39.2,8,128.8,38.2,25.7
5,GhostNet 1D,0.7904,48225.0,232.8,188.4,47.1,61.2,8,196.4,55.1,37.7
6,CNN-LSTM,0.8329,51713.0,210.8,202.0,50.5,65.7,12,214.0,62.5,26.2
7,LSTM,0.8003,57153.0,228.2,223.3,55.8,72.6,12,235.3,67.8,26.2
8,SqueezeNet 1D,0.8028,61873.0,269.5,241.7,60.4,78.5,8,249.7,68.4,49.7
9,TCN+SE,0.8444,72921.0,307.1,284.8,71.2,92.6,8,292.8,79.2,25.7
10,MobileViT 1D,0.7875,75617.0,327.5,295.4,73.8,96.0,14,309.4,87.8,49.7
11,BiLSTM,0.8053,147009.0,581.5,574.3,143.6,186.6,12,586.3,155.6,26.7
12,MobileNetV2,0.8226,256129.0,1057.0,1000.5,250.1,325.2,8,1008.5,258.1,49.7
13,MobileNetV3-S,0.7984,277835.0,1147.7,1085.3,271.3,352.7,8,1093.3,279.3,37.7
14,LightGBM,0.8341,,2702.5,2702.5,,,8,2710.5,,2.0
15,Random Forest,0.8273,,,3992.2,,,8,4000.2,,2.0
16,LinearSVM,0.6536,,3.9,,,,4,,,1.0
17,OCC-eSNN,0.5817,,,,,,3,,,1.0
