view,seed,Accuracy,Precision,Recall,F1-Score
raw,42,0.877913752913753,0.9553219448094612,0.8055401662049861,0.8740607153591824
raw,123,0.8802447552447552,0.9573490813648294,0.8083102493074792,0.8765395013517573
raw,456,0.8741258741258742,0.9386581469648563,0.8138504155124654,0.8718100890207715
raw,789,0.8715034965034965,0.9540612516644474,0.7939058171745152,0.8666465074085273
raw,1024,0.877039627039627,0.9510763209393346,0.8077562326869806,0.8735769922109047
swa,42,0.872960372960373,0.9560293137908061,0.7950138504155124,0.868118572292801
swa,123,0.8758741258741258,0.958139534883721,0.7988919667590028,0.8712990936555891
swa,456,0.8787878787878788,0.9614617940199336,0.8016620498614958,0.8743202416918429
swa,789,0.8685897435897436,0.955585464333782,0.7867036011080333,0.8629595867517472
swa,1024,0.8741258741258742,0.9598124581379772,0.7939058171745152,0.8690115221346271
ema,42,0.8761655011655012,0.9581673306772909,0.7994459833795013,0.8716399879190577
ema,123,0.87995337995338,0.9591298615688859,0.8060941828254847,0.8759783263094522
ema,456,0.8767482517482518,0.9576158940397351,0.8011080332409972,0.8723981900452489
ema,789,0.8735431235431236,0.9536730641958967,0.7983379501385042,0.8691194209891435
ema,1024,0.872960372960373,0.957247828991316,0.7939058171745152,0.8679588128407026
