channels,n_params,best_val_f1m,best_val_epoch,best_threshold,test_f1m,test_binary_f1,test_pr_auc,test_acc,train_time,n_blocks,f1m_per_kp,prauc_per_kp,log_params
8,2269,0.8653170666772698,38,0.5000000000000002,0.847926267281106,0.8387096774193549,0.9146379369562552,0.8484848484848485,42.0783281326294,,0.37370042630282324,0.4031017791786052,3.355834495884936
12,4085,0.8745420234837115,30,0.5000000000000002,0.8591951821651862,0.8520564763658687,0.9216460915233649,0.8595571095571095,53.06726050376892,,0.2103292979596539,0.22561715826765358,3.6111920608684343
16,6381,0.875363461276981,40,0.4800000000000002,0.8628053292471372,0.8569689592209373,0.929026704880588,0.8630536130536131,59.992000102996826,,0.1352147514883462,0.1455926508197129,3.8048887446223913
24,12413,0.8830584707646176,27,0.5300000000000002,0.8645219514784732,0.8583638583638583,0.9151589974071632,0.8648018648018648,62.5758867263794,,0.06964649572854856,0.07372585172054807,4.093876755390045
32,20365,0.889540129188604,24,0.4300000000000002,0.8707492876604002,0.8660417296643483,0.9272471162771344,0.870920745920746,53.82753586769104,3.0,0.04275714646012277,0.045531407624705846,4.308884414422017
48,42611,0.8899921141300452,23,0.5000000000000002,0.869270482603816,0.8642424242424243,0.9329126876283652,0.8694638694638694,67.36991834640503,3.0,0.020400142747267515,0.021893705560262967,4.629521726394441
64,72921,0.8855131316132653,24,0.4600000000000002,0.8719270505576215,0.8674116581093325,0.9042824611543756,0.872086247086247,85.51102566719055,3.0,0.011957146097250744,0.012400851073824763,4.862852615708447
80,111295,0.8903476707434382,28,0.5100000000000002,0.8702256028696453,0.8664064845391775,0.9152011942650274,0.8703379953379954,113.71359872817992,3.0,0.007819089832154591,0.008223201350150748,5.046475653811921
96,157733,0.8908387562646677,23,0.4400000000000002,0.8714170258140062,0.8680825605743344,0.9181045855463452,0.8715034965034965,121.28737044334412,3.0,0.0055246335631352105,0.005820624634961265,5.197922563453177
128,274801,0.8993501782765061,32,0.4300000000000002,0.8729289143378895,0.8709295441089402,0.9209184550432497,0.872960372960373,204.00188636779785,3.0,0.0031765856541202163,0.0033512194462292704,5.439018308786682
