k,n_features,name,drop_set,drop_idx_set,drop_features,n_seeds,n_params,n_collapsed_seeds,median_best_epoch,mean_f1m,std_f1m,median_f1m,min_f1m,max_f1m,mean_pr_auc,std_pr_auc,mean_binary_f1,mean_accuracy,mean_roc_auc,loo_cumulative_predicted_delta_f1m,delta_f1m_vs_27baseline,actual_minus_loo_overestimate
0,27,27dim_baseline_NONE,,,,5,74969,0,17,0.8205129608777384,0.005210612960798316,0.8187966333958112,0.8125213371952174,0.8267954843613463,0.9051610495690989,0.005002895156922287,0.8044168410317312,0.8219696969696969,0.8623618065640924,0,0.0,0.0
1,26,26dim_drop_length,2,2,length,5,74713,0,16,0.8256471320649688,0.007164794301929993,0.8264623538129587,0.8128046236936858,0.8349264595008895,0.9079311101460552,0.0038517084615594726,0.8101158044852417,0.8270396270396271,0.8663405108053672,0.005134,0.005134171187230363,1.711872303633566e-07
1,26,26dim_drop_press_mean_w,19,19,press_mean_w,5,74713,0,18,0.8240303675325628,0.009973880640686182,0.8262000484474246,0.8112298831015474,0.8375249362407609,0.8980633366341685,0.008978948673823237,0.8077133368489102,0.8255827505827507,0.8615392263857651,0.003517,0.003517406654824362,4.0665482436193917e-07
1,26,26dim_drop_crc_mean_w,20,20,crc_mean_w,5,74713,0,16,0.8215480191011274,0.005464798820319854,0.8202389669768355,0.8147652976248958,0.8308229328091736,0.9064460457374797,0.00274108357956868,0.8053050598316206,0.823076923076923,0.8609898748099505,0.001035,0.001035058223389007,5.8223389007208e-08
1,26,26dim_drop_cmd_count_w,22,22,cmd_count_w,5,74713,0,18,0.8210764475654455,0.007139930251649134,0.8193205336493549,0.8108837768704684,0.8318826262145969,0.9032525952995275,0.0045220886413048075,0.8051975434481247,0.8224941724941726,0.8598080180881148,0.000563,0.0005634866877071154,4.86687707115384e-07
1,26,26dim_drop_setpoint,3,3,setpoint,5,74713,0,12,0.82077896850587,0.011927770489151841,0.8247364186814583,0.7987643168820473,0.8341808233544494,0.9027223993834497,0.006870097952405575,0.8041246515103031,0.8223776223776225,0.8579406722091031,0.000266,0.0002660076281315593,7.628131559300321e-09
1,26,26dim_drop_function,1,1,function,5,74713,0,17,0.8201117988591454,0.006411511027446106,0.8200547139273092,0.8100769620990251,0.8275375121752957,0.9064963788625612,0.005229354058550333,0.804856867065247,0.8214452214452214,0.8633602282807267,-0.000401,-0.00040116201859297096,-1.6201859297096995e-07
2,25,25dim_drop_function_setpoint,1;3,1;3,function;setpoint,5,74457,0,18,0.8251381860899987,0.013889099165804396,0.8359168820382806,0.8036342817987612,0.8366704986588027,0.9043529538287668,0.004443343276936074,0.8092777389451395,0.8266317016317016,0.8620947412687899,-0.00013499999999999997,0.0046252252122602755,0.004760225212260275
2,25,25dim_drop_length_setpoint,2;3,2;3,length;setpoint,5,74457,0,13,0.8207831656263705,0.014206457529509203,0.8273343475292237,0.8023170666503424,0.8360219435380318,0.9056814904621264,0.006118210062418382,0.8031967204356618,0.8225524475524475,0.8633038731788873,0.005399999999999999,0.0002702047486321524,-0.005129795251367847
2,25,25dim_drop_crc_mean_w_setpoint,3;20,3;20,setpoint;crc_mean_w,5,74457,0,16,0.8205140042796447,0.0144958230142292,0.8278311965811966,0.8025608162347755,0.8348326521226803,0.9057246399306373,0.0023127332622229816,0.8038891418589316,0.8220862470862471,0.8633111601829924,0.0013009999999999999,1.0434019063199074e-06,-0.00129995659809368
2,25,25dim_drop_cmd_count_w_setpoint,3;22,3;22,setpoint;cmd_count_w,5,74457,0,15,0.8201882966078731,0.010220557594409726,0.8230537543644247,0.8073577919145829,0.8331203621293817,0.9074936334072202,0.004132903615401095,0.8027015373903785,0.821911421911422,0.864167349113897,0.0008290000000000001,-0.0003246642698653268,-0.001153664269865327
2,25,25dim_drop_crc_mean_w_length,2;20,2;20,length;crc_mean_w,5,74457,0,17,0.8198186290004656,0.007381109107317143,0.8244553169012727,0.80985287378895,0.827143838774894,0.9049166357676255,0.007434172209661731,0.8055878685738296,0.820979020979021,0.8609963105285292,0.006168999999999999,-0.0006943318772727469,-0.006863331877272746
2,25,25dim_drop_function_press_mean_w,1;19,1;19,function;press_mean_w,5,74457,0,18,0.8193397572022324,0.0038444967151652315,0.8183429567387273,0.8136853270185755,0.8238009858483446,0.8957977896412641,0.006133469449829691,0.8026805706483671,0.8209207459207459,0.8576543678609067,0.0031160000000000003,-0.001173203675505996,-0.004289203675505997
2,25,25dim_drop_crc_mean_w_function,1;20,1;20,function;crc_mean_w,5,74457,0,15,0.8164405205474514,0.008094293532927828,0.8155076479570853,0.803691208329886,0.8270179614691069,0.9054857580084119,0.004328140684820177,0.8014742865755637,0.8177156177156176,0.862054730849055,0.0006339999999999999,-0.004072440330286975,-0.004706440330286975
2,25,25dim_drop_cmd_count_w_crc_mean_w,20;22,20;22,crc_mean_w;cmd_count_w,5,74457,0,19,0.814973938152358,0.0057008225899179595,0.8152176666510096,0.8075292882831432,0.8214132723763412,0.9050592300205589,0.002631947071120042,0.7958412042248993,0.816958041958042,0.8607813779588558,0.001598,-0.005539022725380427,-0.007137022725380427
2,25,25dim_drop_function_length,1;2,1;2,function;length,5,74457,0,16,0.8141597561041494,0.01648582106549171,0.8140851933539159,0.784444115300267,0.832097768756177,0.9053903174872522,0.004359707506856106,0.794593395910623,0.8163752913752914,0.8610681590269464,0.004732999999999999,-0.006353204773589027,-0.011086204773589027
2,25,25dim_drop_cmd_count_w_function,1;22,1;22,function;cmd_count_w,5,74457,0,13,0.8129290466859285,0.009589010656906243,0.8138930836605256,0.80022491059851,0.8239567834520237,0.9073234482858441,0.001930568035032889,0.794449401540233,0.8148018648018649,0.8619057899333784,0.00016200000000000003,-0.007583914191809926,-0.007745914191809926
2,25,25dim_drop_cmd_count_w_length,2;22,2;22,length;cmd_count_w,5,74457,0,8,0.8054565011230391,0.012028658598060188,0.8015604628894981,0.790603812125463,0.826081502184048,0.9042675179856495,0.006709100007567106,0.7871027058627196,0.8072261072261073,0.8559185626214145,0.005697,-0.01505645975469927,-0.02075345975469927
2,25,25dim_drop_press_mean_w_setpoint,3;19,3;19,setpoint;press_mean_w,5,74457,2,19,0.8032648211114871,0.01981648507382048,0.8142984746461455,0.7783784834243905,0.8260497320725602,0.8873828008967388,0.003509553542602989,0.7786106923241867,0.8065268065268064,0.8426580198758146,0.0037830000000000003,-0.01724813976625128,-0.021031139766251282
2,25,25dim_drop_cmd_count_w_press_mean_w,19;22,19;22,press_mean_w;cmd_count_w,5,74457,1,19,0.8001228179581622,0.02210251758071858,0.8049900614769623,0.7609273750878306,0.8275152469266164,0.8938378116079834,0.008941164619221894,0.7755552194922934,0.8033799533799533,0.8480228212623884,0.00408,-0.020390142919576193,-0.024470142919576193
2,25,25dim_drop_length_press_mean_w,2;19,2;19,length;press_mean_w,5,74457,1,18,0.793703434280787,0.03363844190342155,0.8067088293650794,0.7317851959361393,0.8315974193124823,0.897461258497706,0.007642189268428356,0.7651971880579853,0.7980186480186481,0.8498709961913485,0.008650999999999999,-0.02680952659695135,-0.03546052659695135
2,25,25dim_drop_crc_mean_w_press_mean_w,19;20,19;20,press_mean_w;crc_mean_w,5,74457,2,9,0.789618622271662,0.02543025409177732,0.7897644621063808,0.760590503288592,0.8198686001580751,0.8950653933800252,0.012578029078744345,0.762668591479527,0.7932400932400933,0.8427504013811256,0.0045520000000000005,-0.030894338606076377,-0.03544633860607638
3,24,24dim_drop_cmd_count_w_crc_mean_w_setpoint,3;20;22,3;20;22,setpoint;crc_mean_w;cmd_count_w,5,74201,0,20,0.8275370880699082,0.005605319687994431,0.8247892947656749,0.8219603042030234,0.8359168820382806,0.9074782984875478,0.004443379676654673,0.8125747555054854,0.8288461538461538,0.8672412049435853,0.001864,0.007024127192169827,0.0051601271921698265
3,24,24dim_drop_cmd_count_w_press_mean_w_setpoint,3;19;22,3;19;22,setpoint;press_mean_w;cmd_count_w,5,74201,1,17,0.8197071374188271,0.022684190514670726,0.8274900392957136,0.7752386897562662,0.8383571415163404,0.8888192949902024,0.004171302506991898,0.8015828188626866,0.8217365967365968,0.8513630954103792,0.004346,-0.0008058234589113367,-0.005151823458911337
3,24,24dim_drop_crc_mean_w_press_mean_w_setpoint,3;19;20,3;19;20,setpoint;press_mean_w;crc_mean_w,5,74201,1,19,0.8195031286150553,0.018499711524157955,0.8249487290872699,0.7832589863696127,0.8336103581131351,0.8884083899564814,0.004862515000665402,0.8012322358898624,0.8214452214452214,0.8500019920081316,0.004818,-0.0010098322626831413,-0.0058278322626831415
3,24,24dim_drop_cmd_count_w_crc_mean_w_length,2;20;22,2;20;22,length;crc_mean_w;cmd_count_w,5,74201,0,17,0.8152484441642278,0.007733567926239988,0.8168156200797232,0.8050115140138663,0.8267470493915681,0.9074330951596448,0.003081689365177596,0.7963520353635987,0.8171911421911421,0.8619564924993233,0.006731999999999999,-0.005264516713510581,-0.01199651671351058
3,24,24dim_drop_length_press_mean_w_setpoint,2;3;19,2;3;19,length;setpoint;press_mean_w,5,74201,0,18,0.8152054844067733,0.016047018053878804,0.8192153755399307,0.7850072774544073,0.8304073548828794,0.8927774366706404,0.005341795046887554,0.796062372115023,0.8172494172494172,0.8563172366590788,0.008917,-0.005307476470965078,-0.014224476470965077
3,24,24dim_drop_cmd_count_w_crc_mean_w_function,1;20;22,1;20;22,function;crc_mean_w;cmd_count_w,5,74201,0,17,0.8134638294081478,0.009259110402893914,0.8121753564050673,0.799527450335185,0.8276721570620034,0.9063130520484568,0.0036850167600958627,0.7947058025476215,0.8153846153846154,0.8613436350232486,0.001197,-0.00704913146959063,-0.00824613146959063
3,24,24dim_drop_crc_mean_w_length_press_mean_w,2;19;20,2;19;20,length;press_mean_w;crc_mean_w,5,74201,0,19,0.8129141222883888,0.007187604326331487,0.816930991055276,0.799643664926551,0.8196894255826002,0.8997619238065478,0.0038430428590528996,0.7933503942914776,0.8149766899766899,0.8585401134252834,0.009686,-0.007598838589349621,-0.01728483858934962
3,24,24dim_drop_cmd_count_w_crc_mean_w_press_mean_w,19;20;22,19;20;22,press_mean_w;crc_mean_w;cmd_count_w,5,74201,0,20,0.812242293031591,0.007776709992369054,0.8091027847043506,0.8011902918472764,0.8228834661674245,0.8991367528029375,0.004763717589637402,0.7922387549173446,0.8143939393939394,0.8588337388290057,0.005115,-0.008270667846147384,-0.013385667846147383
3,24,24dim_drop_crc_mean_w_function_length,1;2;20,1;2;20,function;length;crc_mean_w,5,74201,0,11,0.810589342823204,0.0054107281342584265,0.810925447091933,0.8013288443039714,0.8182548970382815,0.9074255782783813,0.004259174049395895,0.7914538879924281,0.8125291375291376,0.861558533541501,0.005768,-0.009923618054534344,-0.015691618054534343
3,24,24dim_drop_function_length_setpoint,1;2;3,1;2;3,function;length;setpoint,5,74201,0,9,0.8104902427676676,0.017727773608957803,0.8120843163416316,0.7798015669160321,0.8293986930039409,0.9081019485407594,0.0038434024909099283,0.7909527227153158,0.8125874125874125,0.8612186663079916,0.004999,-0.010022718110070827,-0.015021718110070827
3,24,24dim_drop_cmd_count_w_function_length,1;2;22,1;2;22,function;length;cmd_count_w,5,74201,0,16,0.8091577876753184,0.02310691218729091,0.8222203043153162,0.7702395578139385,0.8330885257122362,0.9038491677921752,0.005278505740992559,0.7884865247735757,0.8114801864801864,0.8581330967894617,0.0052959999999999995,-0.011355173202419966,-0.016651173202419964
3,24,24dim_drop_function_press_mean_w_setpoint,1;3;19,1;3;19,function;setpoint;press_mean_w,5,74201,1,18,0.808276317645143,0.02072181984638056,0.8196894255826002,0.7689505601163661,0.8263898678634679,0.8938898660460894,0.006891442332521363,0.7860139880837023,0.811013986013986,0.848588960188781,0.003382,-0.012236643232595434,-0.015618643232595434
3,24,24dim_drop_crc_mean_w_length_setpoint,2;3;20,2;3;20,length;setpoint;crc_mean_w,5,74201,0,11,0.8080244931039265,0.013000439165621209,0.8098482129306876,0.7881367163470359,0.8277754656390495,0.9065202512457606,0.0033059448212740803,0.7867018456665418,0.8104312354312354,0.8618197760438038,0.006435,-0.012488467773811851,-0.01892346777381185
